Experiment,Paper ID#,Case,author,year,Biosolid level (Mg ha-1),Ne,Error in the article,Me,Se,seimp,Nc,Mc,Sc,scimp,year_restoration,yeartrans,Temp,Precip,Level P (Mg ha-1),TOC (Mg ha-1),TN (Mg ha-1),Mixture,Disturbances levels,Burn,Seeded,Multiple application ,Biome,Location,Coordinates (Latitude),Coordinate (longitude),S.dist
QQQ,169,2,Ferrer,2011,2,1,,82.81,,4.332937638,1,1.72,,0.133028021,1,2,17.4,52.5,,0.376,0.011,Y,high,N,Y,N,Shrubland,"Arjona and Porcuna, Spain",37.91278,-4.10444,No
QQQ,169,3,Ferrer,2011,4,1,,96.7,,5.059715851,1,1.72,,0.133028021,1,2,17.4,52.5,,0.752,0.022,Y,high,N,Y,N,Shrubland,"Arjona and Porcuna, Spain",37.91278,-4.10444,No
QQQ,169,4,Ferrer,2011,4,1,,94.84,,4.962393498,1,1.72,,0.133028021,1,2,17.4,52.5,,0.752,0.022,Y,high,N,Y,N,Shrubland,"Arjona and Porcuna, Spain",37.91278,-4.10444,No
QQQ,169,5,Ferrer,2011,0.5,1,,83.38,,4.36276223,1,4.73,,0.365827057,2,3,17.4,52.5,,0.094,0.00275,Y,high,N,Y,N,Shrubland,"Arjona and Porcuna, Spain",37.91278,-4.10444,No
QQQ,169,6,Ferrer,2011,2,1,,14.61,,0.764451381,1,4.73,,0.365827057,2,3,17.4,52.5,,0.376,0.011,Y,high,N,Y,N,Shrubland,"Arjona and Porcuna, Spain",37.91278,-4.10444,No
QQQ,169,7,Ferrer,2011,4,1,,65.33,,3.41831682,1,4.73,,0.365827057,2,3,17.4,52.5,,0.752,0.022,Y,high,N,Y,N,Shrubland,"Arjona and Porcuna, Spain",37.91278,-4.10444,No
QQQ,169,8,Ferrer,2011,4,1,,34.67,,1.81406772,1,4.73,,0.365827057,2,3,17.4,52.5,,0.752,0.022,Y,high,N,Y,N,Shrubland,"Arjona and Porcuna, Spain",37.91278,-4.10444,No
QQQ,169,9,Ferrer,2011,0.5,1,,92.71,,4.850943708,1,69.04,,5.339682883,1,2,17.4,52.5,,0.094,0.00275,Y,high,N,Y,N,Shrubland,"Arjona and Porcuna, Spain",37.91278,-4.10444,No
QQQ,169,10,Ferrer,2011,2,1,,96.76,,5.062855282,1,69.04,,5.339682883,1,2,17.4,52.5,,0.376,0.011,Y,high,N,Y,N,Shrubland,"Arjona and Porcuna, Spain",37.91278,-4.10444,No
QQQ,169,11,Ferrer,2011,4,1,,84.76,,4.434969137,1,69.04,,5.339682883,1,2,17.4,52.5,,0.752,0.022,Y,high,N,Y,N,Shrubland,"Arjona and Porcuna, Spain",37.91278,-4.10444,No
QQQ,169,12,Ferrer,2011,0.5,1,,78.77,,4.121549303,1,63.05,,4.876405066,2,3,17.4,52.5,,0.094,0.00275,Y,high,N,Y,N,Shrubland,"Arjona and Porcuna, Spain",37.91278,-4.10444,No
QQQ,169,13,Ferrer,2011,2,1,,85.25,,4.460607821,1,63.05,,4.876405066,2,3,17.4,52.5,,0.376,0.011,Y,high,N,Y,N,Shrubland,"Arjona and Porcuna, Spain",37.91278,-4.10444,No
QQQ,169,14,Ferrer,2011,4,1,,89.79,,4.698158079,1,63.05,,4.876405066,2,3,17.4,52.5,,0.752,0.022,Y,high,N,Y,N,Shrubland,"Arjona and Porcuna, Spain",37.91278,-4.10444,No
QQQ,169,15,Ferrer,2011,4,1,,75.04,,3.926381359,1,63.05,,4.876405066,2,3,17.4,52.5,,0.752,0.022,Y,high,N,Y,N,Shrubland,"Arjona and Porcuna, Spain",37.91278,-4.10444,No
